Freight Flows,Corridor,Lat,Long,Grouping,Daily $M,Daily Tons,AM Peak (7:00-8:59am) $K,AM Peak (7:00-8:59am) Tons,MD 1HR (1:00-1:59pm) $K,MD 1HR (1:00-1:59pm) Tons,PM Peak (4:00-5:59pm) $K,PM Peak (4:00-5:59pm) Tons
NE Cornell Road EB,Beaverton to Hillsboro,45.53770547,-122.904527,Agriculture,0.113,253,15.898,36,9.567,21,0,0
NE Cornell Road EB,Beaverton to Hillsboro,455.3770547,-1229.04527,All Goods,2.641,1985,847.719,497,87.531,54,0.093,0
NE Cornell Road EB,Beaverton to Hillsboro,45.53770547,-122.904527,Chemical,0.641,1131,144.256,254,5.722,10,0,0
NE Cornell Road EB,Beaverton to Hillsboro,45.53770547,-122.904527,"Coal, Oil, Waste, etc.",0.053,100,18.62,35,9.14,17,0,0
NE Cornell Road EB,Beaverton to Hillsboro,45.53770547,-122.904527,Electronics,1.318,67,453.493,23,56.756,3,0,0
NE Cornell Road EB,Beaverton to Hillsboro,45.53770547,-122.904527,Food,0.025,15,0,0,0,0,0,0
NE Cornell Road EB,Beaverton to Hillsboro,45.53770547,-122.904527,"Gravel, Sand, etc.",0.001,38,0,0,0,0,0,0
NE Cornell Road EB,Beaverton to Hillsboro,45.53770547,-122.904527,Machinery,0.188,61,50.252,16,6.311,2,0,0
NE Cornell Road EB,Beaverton to Hillsboro,45.53770547,-122.904527,Misc manufactured,0.146,26,104.622,19,0,0,0,0
NE Cornell Road EB,Beaverton to Hillsboro,45.53770547,-122.904527,"Motor Vehicles, etc.",0,0,0,0,0,0,0,0
NE Cornell Road EB,Beaverton to Hillsboro,45.53770547,-122.904527,"Wood, Paper, etc.",0.157,296,60.578,114,0.035,0,0.093,0
NE Cornell Road WB,Beaverton to Hillsboro,45.53847768,-122.9051624,Agriculture,0.002,5,1.327,3,0.047,0,0.233,1
NE Cornell Road WB,Beaverton to Hillsboro,455.3847768,-1229.051624,All Goods,8.198,4408,1967.801,971,220.454,171,544.335,120
NE Cornell Road WB,Beaverton to Hillsboro,45.53847768,-122.9051624,Chemical,0.746,1315,152.887,270,37.958,67,1.681,3
NE Cornell Road WB,Beaverton to Hillsboro,45.53847768,-122.9051624,"Coal, Oil, Waste, etc.",0.376,707,82.141,154,10.495,20,9.974,19
NE Cornell Road WB,Beaverton to Hillsboro,45.53847768,-122.9051624,Electronics,1.304,66,263.114,13,0.986,0,343.521,17
NE Cornell Road WB,Beaverton to Hillsboro,45.53847768,-122.9051624,Food,0.374,226,37.245,22,17.903,11,3.844,2
NE Cornell Road WB,Beaverton to Hillsboro,45.53847768,-122.9051624,"Gravel, Sand, etc.",0.003,210,0.722,53,0.317,23,0.256,19
NE Cornell Road WB,Beaverton to Hillsboro,45.53847768,-122.9051624,Machinery,4.658,1506,1165.02,377,145.98,47,184.821,60
NE Cornell Road WB,Beaverton to Hillsboro,45.53847768,-122.9051624,Misc manufactured,0.089,16,0,0,5.728,1,0,0
NE Cornell Road WB,Beaverton to Hillsboro,45.53847768,-122.9051624,"Motor Vehicles, etc.",0.471,31,231.362,15,0,0,0,0
NE Cornell Road WB,Beaverton to Hillsboro,45.53847768,-122.9051624,"Wood, Paper, etc.",0.174,327,33.983,64,1.041,2,0.004,0
NE Evergreen Road EB,Beaverton to Hillsboro,45.54931905,-122.9092502,Agriculture,0.039,87,22.1,50,0,0,0,0
NE Evergreen Road EB,Beaverton to Hillsboro,455.4931905,-1229.092502,All Goods,4.004,447,987.693,127,475.895,39,167.329,29
NE Evergreen Road EB,Beaverton to Hillsboro,45.54931905,-122.9092502,Chemical,0.071,125,9.669,17,8.506,15,11.988,21
NE Evergreen Road EB,Beaverton to Hillsboro,45.54931905,-122.9092502,"Coal, Oil, Waste, etc.",0,0,0,0,0,0,0,0
NE Evergreen Road EB,Beaverton to Hillsboro,45.54931905,-122.9092502,Electronics,3.726,189,877.057,44,467.369,24,155.261,8
NE Evergreen Road EB,Beaverton to Hillsboro,45.54931905,-122.9092502,Food,0.023,14,0,0,0,0,0,0
NE Evergreen Road EB,Beaverton to Hillsboro,45.54931905,-122.9092502,"Gravel, Sand, etc.",0,0,0,0,0,0,0,0
NE Evergreen Road EB,Beaverton to Hillsboro,45.54931905,-122.9092502,Machinery,0.036,12,8.728,3,0,0,0,0
NE Evergreen Road EB,Beaverton to Hillsboro,45.54931905,-122.9092502,Misc manufactured,0.109,19,69.748,12,0,0,0,0
NE Evergreen Road EB,Beaverton to Hillsboro,45.54931905,-122.9092502,"Motor Vehicles, etc.",0,0,0,0,0,0,0,0
NE Evergreen Road EB,Beaverton to Hillsboro,45.54931905,-122.9092502,"Wood, Paper, etc.",0,1,0.391,1,0.02,0,0.08,0
NE Evergreen Road WB,Beaverton to Hillsboro,45.55012141,-122.9086534,Agriculture,0.001,1,0,0,0,0,0.52,1
NE Evergreen Road WB,Beaverton to Hillsboro,455.5012141,-1229.086534,All Goods,7.119,3076,1187.012,645,160.713,163,390.126,100
NE Evergreen Road WB,Beaverton to Hillsboro,45.55012141,-122.9086534,Chemical,1.253,2210,294.602,520,82.016,145,37.195,66
NE Evergreen Road WB,Beaverton to Hillsboro,45.55012141,-122.9086534,"Coal, Oil, Waste, etc.",0.06,113,12.679,24,0.044,0,0.026,0
NE Evergreen Road WB,Beaverton to Hillsboro,45.55012141,-122.9086534,Electronics,4.095,208,671.284,34,0,0,304.042,15
NE Evergreen Road WB,Beaverton to Hillsboro,45.55012141,-122.9086534,Food,0.066,40,0,0,0,0,8.571,5
NE Evergreen Road WB,Beaverton to Hillsboro,45.55012141,-122.9086534,"Gravel, Sand, etc.",0,0,0,0,0,0,0,0
NE Evergreen Road WB,Beaverton to Hillsboro,45.55012141,-122.9086534,Machinery,1.459,472,208.447,67,22.544,7,39.772,13
NE Evergreen Road WB,Beaverton to Hillsboro,45.55012141,-122.9086534,Misc manufactured,0.167,30,0,0,55.798,10,0,0
NE Evergreen Road WB,Beaverton to Hillsboro,45.55012141,-122.9086534,"Motor Vehicles, etc.",0.016,1,0,0,0,0,0,0
NE Evergreen Road WB,Beaverton to Hillsboro,45.55012141,-122.9086534,"Wood, Paper, etc.",0.001,2,0,0,0.31,1,0,0
NW Cornelius Pass Road NB US 26,Beaverton to Hillsboro,45.55773246,-122.8995678,Agriculture,1.988,4452,392.622,879,104.107,233,40.257,90
NW Cornelius Pass Road NB US 26,Beaverton to Hillsboro,455.5773246,-1228.995678,All Goods,5.51,8395,1080.816,1735,342.548,505,134.832,191
NW Cornelius Pass Road NB US 26,Beaverton to Hillsboro,45.55773246,-122.8995678,Chemical,1.089,1920,183.373,323,52.935,93,32.749,58
NW Cornelius Pass Road NB US 26,Beaverton to Hillsboro,45.55773246,-122.8995678,"Coal, Oil, Waste, etc.",0.722,1358,202.784,381,74.976,141,20.576,39
NW Cornelius Pass Road NB US 26,Beaverton to Hillsboro,45.55773246,-122.8995678,Electronics,0.528,27,83.551,4,41.007,2,39.658,2
NW Cornelius Pass Road NB US 26,Beaverton to Hillsboro,45.55773246,-122.8995678,Food,0.195,118,42.847,26,0,0,0,0
NW Cornelius Pass Road NB US 26,Beaverton to Hillsboro,45.55773246,-122.8995678,"Gravel, Sand, etc.",0,23,0.103,8,0.103,8,0,0
NW Cornelius Pass Road NB US 26,Beaverton to Hillsboro,45.55773246,-122.8995678,Machinery,0.673,217,139.211,45,65.757,21,0.056,0
NW Cornelius Pass Road NB US 26,Beaverton to Hillsboro,45.55773246,-122.8995678,Misc manufactured,0.183,33,0,0,0,0,0,0
NW Cornelius Pass Road NB US 26,Beaverton to Hillsboro,45.55773246,-122.8995678,"Motor Vehicles, etc.",0.001,0,0.162,0,0.162,0,0.162,0
NW Cornelius Pass Road NB US 26,Beaverton to Hillsboro,45.55773246,-122.8995678,"Wood, Paper, etc.",0.132,248,36.164,68,3.502,7,1.374,3
NW Cornelius Pass Road SB US 26,Beaverton to Hillsboro,45.55834005,-122.900362,Agriculture,0.184,411,21.509,48,3.351,8,0.017,0
NW Cornelius Pass Road SB US 26,Beaverton to Hillsboro,455.5834005,-1229.00362,All Goods,9.105,8184,1986.417,1628,410.416,377,198.214,191
NW Cornelius Pass Road SB US 26,Beaverton to Hillsboro,45.55834005,-122.900362,Chemical,2.437,4298,518.205,914,143.025,252,38.481,68
NW Cornelius Pass Road SB US 26,Beaverton to Hillsboro,45.55834005,-122.900362,"Coal, Oil, Waste, etc.",0.625,1175,106.067,199,10.746,20,40.588,76
NW Cornelius Pass Road SB US 26,Beaverton to Hillsboro,45.55834005,-122.900362,Electronics,0.653,33,179.249,9,1.495,0,0,0
NW Cornelius Pass Road SB US 26,Beaverton to Hillsboro,45.55834005,-122.900362,Food,0.604,365,132.678,80,46.978,28,0,0
NW Cornelius Pass Road SB US 26,Beaverton to Hillsboro,45.55834005,-122.900362,"Gravel, Sand, etc.",0.009,645,1.057,77,0.252,18,0.308,22
NW Cornelius Pass Road SB US 26,Beaverton to Hillsboro,45.55834005,-122.900362,Machinery,2.596,839,591.082,191,111.885,36,15.467,5
NW Cornelius Pass Road SB US 26,Beaverton to Hillsboro,45.55834005,-122.900362,Misc manufactured,0.588,105,90.472,16,61.526,11,103.158,18
NW Cornelius Pass Road SB US 26,Beaverton to Hillsboro,45.55834005,-122.900362,"Motor Vehicles, etc.",1.288,84,307.401,20,30.848,2,0,0
NW Cornelius Pass Road SB US 26,Beaverton to Hillsboro,45.55834005,-122.900362,"Wood, Paper, etc.",0.122,229,38.697,73,0.31,1,0.196,0
US-26 EB Cedar Hills,Beaverton to Hillsboro,45.517317,-122.805484,Agriculture,1.298,2907,258.985,580,59.285,133,12.406,28
US-26 EB Cedar Hills,Beaverton to Hillsboro,455.17317,-1228.05484,All Goods,21.1,17363,4386.454,3766,727.625,1038,715.18,485
US-26 EB Cedar Hills,Beaverton to Hillsboro,45.517317,-122.805484,Chemical,0.32,565,86.43,152,30.424,54,7.088,12
US-26 EB Cedar Hills,Beaverton to Hillsboro,45.517317,-122.805484,"Coal, Oil, Waste, etc.",4.14,7782,997.745,1876,264.965,498,120.107,226
US-26 EB Cedar Hills,Beaverton to Hillsboro,45.517317,-122.805484,Electronics,8.406,426,1616.897,82,138.902,7,166.598,8
US-26 EB Cedar Hills,Beaverton to Hillsboro,45.517317,-122.805484,Food,0.938,567,102.304,62,57.741,35,16.259,10
US-26 EB Cedar Hills,Beaverton to Hillsboro,45.517317,-122.805484,"Gravel, Sand, etc.",0.021,1505,3.683,269,0.966,71,0.526,38
US-26 EB Cedar Hills,Beaverton to Hillsboro,45.517317,-122.805484,Machinery,1.246,403,232.761,75,21.197,7,32.123,10
US-26 EB Cedar Hills,Beaverton to Hillsboro,45.517317,-122.805484,Misc manufactured,1.157,207,380.266,68,0,0,0,0
US-26 EB Cedar Hills,Beaverton to Hillsboro,45.517317,-122.805484,"Motor Vehicles, etc.",2.048,133,401.248,26,30.848,2,289.202,19
US-26 EB Cedar Hills,Beaverton to Hillsboro,45.517317,-122.805484,"Wood, Paper, etc.",1.526,2868,306.135,576,123.296,232,70.87,133
US-26 EB Helvetia,Beaverton to Hillsboro,45.558101,-122.914773,Agriculture,2.233,5002,449.062,1006,110.654,248,42.363,95
US-26 EB Helvetia,Beaverton to Hillsboro,455.58101,-1229.14773,All Goods,8.394,10130,1134.312,1772,381.386,655,146.396,281
US-26 EB Helvetia,Beaverton to Hillsboro,45.558101,-122.914773,Chemical,0.735,1297,101.15,178,67.147,118,37.879,67
US-26 EB Helvetia,Beaverton to Hillsboro,45.558101,-122.914773,"Coal, Oil, Waste, etc.",0.329,619,62.267,117,27.248,51,21.066,40
US-26 EB Helvetia,Beaverton to Hillsboro,45.558101,-122.914773,Electronics,1.724,87,32.038,2,36.356,2,0,0
US-26 EB Helvetia,Beaverton to Hillsboro,45.558101,-122.914773,Food,0.806,487,112.559,68,37.669,23,16.259,10
US-26 EB Helvetia,Beaverton to Hillsboro,45.558101,-122.914773,"Gravel, Sand, etc.",0.01,704,1.485,109,0.862,63,0.219,16
US-26 EB Helvetia,Beaverton to Hillsboro,45.558101,-122.914773,Machinery,0.85,275,154.641,50,25.964,8,0,0
US-26 EB Helvetia,Beaverton to Hillsboro,45.558101,-122.914773,Misc manufactured,0.779,140,101.553,18,0,0,0,0
US-26 EB Helvetia,Beaverton to Hillsboro,45.558101,-122.914773,"Motor Vehicles, etc.",0.124,8,0,0,0,0,0,0
US-26 EB Helvetia,Beaverton to Hillsboro,45.558101,-122.914773,"Wood, Paper, etc.",0.804,1512,119.557,225,75.485,142,28.611,54
US-26 WB Cedar Hills,Beaverton to Hillsboro,45.519151,-122.805012,Agriculture,0.184,412,41.917,94,2.431,5,14.413,32
US-26 WB Cedar Hills,Beaverton to Hillsboro,455.19151,-1228.05012,All Goods,19.003,11947,4475.766,2728,560.154,616,1399.905,568
US-26 WB Cedar Hills,Beaverton to Hillsboro,45.519151,-122.805012,Chemical,0.742,1308,224.834,396,32.104,57,15.253,27
US-26 WB Cedar Hills,Beaverton to Hillsboro,45.519151,-122.805012,"Coal, Oil, Waste, etc.",1.594,2997,323.515,608,123.978,233,57.132,107
US-26 WB Cedar Hills,Beaverton to Hillsboro,45.519151,-122.805012,Electronics,7.877,400,1758.287,89,42.022,2,951.431,48
US-26 WB Cedar Hills,Beaverton to Hillsboro,45.519151,-122.805012,Food,2.076,1254,531.157,321,84.383,51,111.113,67
US-26 WB Cedar Hills,Beaverton to Hillsboro,45.519151,-122.805012,"Gravel, Sand, etc.",0.023,1714,5.033,368,1.022,75,1.208,88
US-26 WB Cedar Hills,Beaverton to Hillsboro,45.519151,-122.805012,Machinery,3.784,1223,980.939,317,161.273,52,173.925,56
