"Freight Flows","Corridor","Lat","Long","Grouping","Daily $M","Daily Tons","AM Peak (7:00-8:59am) $K","AM Peak (7:00-8:59am) Tons","MD 1HR (1:00-1:59pm) $K","MD 1HR (1:00-1:59pm) Tons","PM Peak (4:00-5:59pm) $K","PM Peak (4:00-5:59pm) Tons"
"NE Cornell Road EB","Beaverton to Hillsboro",45.5377054729495,-122.904527045749,"Agriculture",0.343,746,125.972,274,0,0,0,0
"NE Cornell Road EB","Beaverton to Hillsboro",455.377054729495,-1229.04527045749,"All Goods",5.969,3242,1242.242,812,776.215,157,143.88,93
"NE Cornell Road EB","Beaverton to Hillsboro",45.5377054729495,-122.904527045749,"Chemical",0.838,1426,169.351,288,43.368,74,37.485,64
"NE Cornell Road EB","Beaverton to Hillsboro",45.5377054729495,-122.904527045749,"Coal, Oil, Waste, etc.",0.135,265,10.945,21,9.68,19,6.123,12
"NE Cornell Road EB","Beaverton to Hillsboro",45.5377054729495,-122.904527045749,"Electronics",3.492,124,420.265,15,668.71,24,67.782,2
"NE Cornell Road EB","Beaverton to Hillsboro",45.5377054729495,-122.904527045749,"Food",0.101,62,27.078,17,0,0,0,0
"NE Cornell Road EB","Beaverton to Hillsboro",45.5377054729495,-122.904527045749,"Gravel, Sand, etc.",0.001,50,0,0,0.2,15,0,0
"NE Cornell Road EB","Beaverton to Hillsboro",45.5377054729495,-122.904527045749,"Machinery",0.617,132,237.402,51,45.754,10,27.744,6
"NE Cornell Road EB","Beaverton to Hillsboro",45.5377054729495,-122.904527045749,"Misc manufactured",0.177,28,147.722,23,0,0,0,0
"NE Cornell Road EB","Beaverton to Hillsboro",45.5377054729495,-122.904527045749,"Motor Vehicles, etc.",0.05,4,39.98,3,0,0,0,0
"NE Cornell Road EB","Beaverton to Hillsboro",45.5377054729495,-122.904527045749,"Wood, Paper, etc.",0.215,406,63.526,120,8.503,16,4.746,9
"NE Cornell Road WB","Beaverton to Hillsboro",45.5384776834503,-122.905162412527,"Agriculture",0.001,3,0.534,1,0,0,0.017,0
"NE Cornell Road WB","Beaverton to Hillsboro",455.384776834503,-1229.05162412527,"All Goods",17.817,4989,3750.911,1035,988.712,329,428.015,199
"NE Cornell Road WB","Beaverton to Hillsboro",45.5384776834503,-122.905162412527,"Chemical",0.793,1350,176.066,300,53.079,90,39.127,67
"NE Cornell Road WB","Beaverton to Hillsboro",45.5384776834503,-122.905162412527,"Coal, Oil, Waste, etc.",0.279,546,49.571,97,37.823,74,13.396,26
"NE Cornell Road WB","Beaverton to Hillsboro",45.5384776834503,-122.905162412527,"Electronics",7.311,259,1609.907,57,277.896,10,6.624,0
"NE Cornell Road WB","Beaverton to Hillsboro",45.5384776834503,-122.905162412527,"Food",0.786,481,99.17,61,30.487,19,12.656,8
"NE Cornell Road WB","Beaverton to Hillsboro",45.5384776834503,-122.905162412527,"Gravel, Sand, etc.",0.003,215,0.601,45,0.017,1,0.251,19
"NE Cornell Road WB","Beaverton to Hillsboro",45.5384776834503,-122.905162412527,"Machinery",8.147,1737,1745.139,372,584.068,125,297.987,64
"NE Cornell Road WB","Beaverton to Hillsboro",45.5384776834503,-122.905162412527,"Misc manufactured",0.096,15,17.573,3,0,0,0,0
"NE Cornell Road WB","Beaverton to Hillsboro",45.5384776834503,-122.905162412527,"Motor Vehicles, etc.",0.207,15,0,0,0,0,51.771,4
"NE Cornell Road WB","Beaverton to Hillsboro",45.5384776834503,-122.905162412527,"Wood, Paper, etc.",0.194,367,52.349,99,5.342,10,6.186,12
"NE Evergreen Road EB","Beaverton to Hillsboro",45.5493190499164,-122.909250203433,"Agriculture",0.169,368,83.257,181,0,0,15.262,33
"NE Evergreen Road EB","Beaverton to Hillsboro",455.493190499164,-1229.09250203433,"All Goods",7.546,1065,2436.467,417,15.853,1,413.381,77
"NE Evergreen Road EB","Beaverton to Hillsboro",45.5493190499164,-122.909250203433,"Chemical",0.158,269,38.823,66,0,0,17.671,30
"NE Evergreen Road EB","Beaverton to Hillsboro",45.5493190499164,-122.909250203433,"Coal, Oil, Waste, etc.",0.025,48,9.202,18,0,0,0,0
"NE Evergreen Road EB","Beaverton to Hillsboro",45.5493190499164,-122.909250203433,"Electronics",6.966,247,2156.725,77,15.853,1,378.747,13
"NE Evergreen Road EB","Beaverton to Hillsboro",45.5493190499164,-122.909250203433,"Food",0.057,35,25.403,16,0,0,0.515,0
"NE Evergreen Road EB","Beaverton to Hillsboro",45.5493190499164,-122.909250203433,"Gravel, Sand, etc.",0.001,47,0.381,28,0,0,0,0
"NE Evergreen Road EB","Beaverton to Hillsboro",45.5493190499164,-122.909250203433,"Machinery",0.053,11,18.148,4,0,0,1.187,0
"NE Evergreen Road EB","Beaverton to Hillsboro",45.5493190499164,-122.909250203433,"Misc manufactured",0.018,3,9.362,1,0,0,0,0
"NE Evergreen Road EB","Beaverton to Hillsboro",45.5493190499164,-122.909250203433,"Motor Vehicles, etc.",0.085,6,84.556,6,0,0,0,0
"NE Evergreen Road EB","Beaverton to Hillsboro",45.5493190499164,-122.909250203433,"Wood, Paper, etc.",0.017,31,10.61,20,0,0,0,0
"NE Evergreen Road WB","Beaverton to Hillsboro",45.5501214081984,-122.908653360751,"Agriculture",0.032,70,4.223,9,0,0,0,0
"NE Evergreen Road WB","Beaverton to Hillsboro",455.501214081984,-1229.08653360751,"All Goods",12.347,5404,4540.894,1610,464.987,207,621.489,195
"NE Evergreen Road WB","Beaverton to Hillsboro",45.5501214081984,-122.908653360751,"Chemical",1.645,2800,462.229,787,61.776,105,70.319,120
"NE Evergreen Road WB","Beaverton to Hillsboro",45.5501214081984,-122.908653360751,"Coal, Oil, Waste, etc.",0.285,559,104.731,205,5.742,11,8.845,17
"NE Evergreen Road WB","Beaverton to Hillsboro",45.5501214081984,-122.908653360751,"Electronics",4.135,147,2017.274,72,1.65,0,410.866,15
"NE Evergreen Road WB","Beaverton to Hillsboro",45.5501214081984,-122.908653360751,"Food",0.086,53,12.047,7,3.722,2,0,0
